ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.614325699978508,25.614325699978508,space,1.6758493999950588,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
0,0,0,0,0,0,0,0,,,,,0.3760603093086394,0.5,27.331280499929562,27.331280499929562,27.435371799976565,27.435371799976565,"(16, 0)",27.435371799976565,27.435371799976565,27.435371799976565,k,1,0.5129295000806451,27.95737109996844,28.467600799980573,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,28.467600799980573,28.467600799980573,28.570796699961647,28.570796699961647,"(16, 0)",28.570796699961647,28.570796699961647,28.570796699961647,k,1,0.6658810999942943,29.244596699951217,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
2,0,2,0,0,0,0,0,,,,,0.3760603093086394,0.5,29.75633340002969,29.75633340002969,29.858996400027536,29.858996400027536,"(-16, 0)",29.858996400027536,29.858996400027536,29.858996400027536,j,1,0.4673073999583721,30.335880899918266,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,30.849946999922395,30.849946999922395,30.958320299978368,30.958320299978368,"(16, 0)",30.958320299978368,30.958320299978368,30.958320299978368,k,1,0.3733097000513226,31.34318899991922,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
4,0,4,0,0,0,0,0,,,,,0.020000000000000004,0.5,31.857198999961838,31.857198999961838,31.958624199964106,31.958624199964106,"(-16, 0)",31.958624199964106,31.958624199964106,31.958624199964106,j,1,0.45022989995777607,32.414934500004165,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
5,0,5,0,0,0,0,0,,,,,0.020000000000000004,0.5,32.92485539999325,32.92485539999325,33.02563359995838,33.02563359995838,"(16, 0)",33.02563359995838,33.02563359995838,33.02563359995838,k,1,0.30100099998526275,33.33531370002311,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
6,0,6,0,0,0,0,0,,,,,0.05318295896944989,0.5,33.845975899952464,33.845975899952464,33.94715819996782,33.94715819996782,"(-16, 0)",33.94715819996782,33.94715819996782,33.94715819996782,j,1,0.3429693999933079,34.2986764999805,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
7,0,7,0,0,0,0,0,,,,,0.05318295896944989,0.5,34.80722880002577,34.80722880002577,34.91031960002147,34.91031960002147,"(-16, 0)",34.91031960002147,34.91031960002147,34.91031960002147,j,1,0.6151355999754742,35.53633739997167,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
8,0,8,0,0,0,0,0,,,,,1.0,0.5,36.04654519993346,36.04654519993346,36.151805999921635,36.151805999921635,"(-16, 0)",36.151805999921635,36.151805999921635,36.151805999921635,j,1,0.5189872999908403,36.67978959996253,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,001821,001,0.1,2024-06-08_13h07.01.241,stimuli3,2022.2.5,160.73320046178793,
,,,,,,,,,,,,1.0,0.5,37.18637499993201,37.18637499993201,37.291866099927574,37.291866099927574,"(-16, 0)",37.291866099927574,37.291866099927574,37.291866099927574,,,,,,,,,,,,,
