ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.175640199915506,33.175640199915506,space,1.0929028000682592,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
0,0,0,0,0,0,0,0,,,,,0.1414213562373095,0.5,34.35805309994612,34.35805309994612,37.39276889991015,37.39276889991015,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
0,0,0,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
1,0,1,0,0,0,0,0,,,,,0.3760603093086394,0.5,37.39276889991015,37.39276889991015,40.42177949997131,40.42177949997131,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
1,0,1,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
2,0,2,0,0,0,0,0,,,,,0.020000000000000004,0.5,40.42177949997131,40.42177949997131,43.45637279993389,43.45637279993389,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
2,0,2,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
3,0,3,0,0,0,0,0,,,,,0.1414213562373095,0.5,43.45637279993389,43.45637279993389,46.48787019995507,46.48787019995507,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
3,0,3,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
4,0,4,0,0,0,0,0,,,,,1.0,0.5,46.48787019995507,46.48787019995507,49.52465729997493,49.52465729997493,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
4,0,4,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,49.52465729997493,49.52465729997493,52.547934699920006,52.547934699920006,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
5,0,5,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
6,0,6,0,0,0,0,0,,,,,0.05318295896944989,0.5,52.547934699920006,52.547934699920006,55.565798299969174,55.565798299969174,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
6,0,6,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
7,0,7,0,0,0,0,0,,,,,0.05318295896944989,0.5,55.565798299969174,55.565798299969174,58.59073409996927,58.59073409996927,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
7,0,7,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
8,0,8,0,0,0,0,0,,,,,0.1414213562373095,0.5,58.59073409996927,58.59073409996927,61.62601449992508,61.62601449992508,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
8,0,8,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
9,0,9,0,0,0,0,0,,,,,1.0,0.5,61.62601449992508,61.62601449992508,64.65531489998102,64.65531489998102,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
9,0,9,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
10,0,10,0,0,0,0,0,,,,,0.3760603093086394,0.5,64.65531489998102,64.65531489998102,67.68125129991677,67.68125129991677,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
10,0,10,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
11,0,11,0,0,0,0,0,,,,,0.3760603093086394,0.5,67.68125129991677,67.68125129991677,70.70608019991778,70.70608019991778,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
11,0,11,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,70.70608019991778,70.70608019991778,73.74035889992956,73.74035889992956,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
12,0,12,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
13,0,13,0,0,0,0,0,,,,,0.020000000000000004,0.5,73.74035889992956,73.74035889992956,76.77260459994432,76.77260459994432,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
13,0,13,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
14,0,14,0,0,0,0,0,,,,,1.0,0.5,76.77260459994432,76.77260459994432,79.80640499992296,79.80640499992296,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
14,0,14,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
15,0,15,0,0,0,0,0,,,,,0.3760603093086394,0.5,79.80640499992296,79.80640499992296,82.84033389994875,82.84033389994875,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
15,0,15,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
16,0,16,0,0,0,0,0,,,,,0.05318295896944989,0.5,82.84033389994875,82.84033389994875,85.87347999995109,85.87347999995109,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
16,0,16,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
17,0,17,0,0,0,0,0,,,,,0.020000000000000004,0.5,85.87347999995109,85.87347999995109,88.90592799999285,88.90592799999285,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
17,0,17,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
18,0,18,0,0,0,0,0,,,,,0.1414213562373095,0.5,88.90592799999285,88.90592799999285,91.93787089991383,91.93787089991383,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
18,0,18,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
19,0,19,0,0,0,0,0,,,,,0.020000000000000004,0.5,91.93787089991383,91.93787089991383,94.94934389996342,94.94934389996342,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
19,0,19,0,,,,,,,,,,,,,,,,024512,001,3,2024-08-14_22h01.39.902,stimuli3,2022.2.5,60.010321756131454,
