ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.38744079996832,35.38744079996832,space,92.39118390006479,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
0,0,0,0,0,0,0,0,,,,,1.0,0.5,128.7093118999619,128.7093118999619,131.71077229990624,131.71077229990624,,131.71077229990624,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
0,0,0,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
1,0,1,0,0,0,0,0,,,,,0.1414213562373095,0.5,132.69835399999283,132.69835399999283,135.6980691999197,135.6980691999197,,135.6980691999197,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
1,0,1,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
2,0,2,0,0,0,0,0,,,,,0.05318295896944989,0.5,136.68067049991805,136.68067049991805,139.68418430001475,139.68418430001475,,139.68418430001475,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
2,0,2,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,140.74929069995414,140.74929069995414,143.75556399999186,143.75556399999186,,143.75556399999186,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
3,0,3,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
4,0,4,0,0,0,0,0,,,,,0.3760603093086394,0.5,144.8024530999828,144.8024530999828,147.80274279997684,147.80274279997684,,147.80274279997684,148.7776875999989,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
4,0,4,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
5,0,5,0,0,0,0,0,,,,,0.020000000000000004,0.5,148.7776875999989,148.7776875999989,151.77822390000802,151.77822390000802,,151.77822390000802,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
5,0,5,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
6,0,6,0,0,0,0,0,,,,,0.3760603093086394,0.5,152.84059599996544,152.84059599996544,155.84486359998118,155.84486359998118,,155.84486359998118,156.92509909998626,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
6,0,6,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
7,0,7,0,0,0,0,0,,,,,1.0,0.5,156.92509909998626,156.92509909998626,159.9270886000013,159.9270886000013,,159.9270886000013,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
7,0,7,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,160.97146699996665,160.97146699996665,163.974160999991,163.974160999991,,163.974160999991,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
8,0,8,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
9,0,9,0,0,0,0,0,,,,,0.020000000000000004,0.5,164.946193199954,164.946193199954,167.94885889999568,167.94885889999568,,167.94885889999568,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
9,0,9,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
10,0,10,0,0,0,0,0,,,,,0.1414213562373095,0.5,168.92498779995367,168.92498779995367,171.92513139999937,171.92513139999937,,171.92513139999937,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
10,0,10,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
11,0,11,0,0,0,0,0,,,,,0.020000000000000004,0.5,172.98675229994114,172.98675229994114,175.9892014999641,175.9892014999641,,175.9892014999641,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
11,0,11,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
12,0,12,0,0,0,0,0,,,,,0.1414213562373095,0.5,176.95781069993973,176.95781069993973,179.95758429996204,179.95758429996204,,179.95758429996204,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
12,0,12,0,,,,,,,,,,,,,,,,,,026522,001,3,2024-06-08_15h07.51.341,stimuli3,2022.2.5,169.56854967513252,
