opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,39.14853100001346,39.14853100001346,space,0.7339510000310838,,,,,,,,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,0,0.005,0.5,,,,,45.616920799948275,45.616920799948275,48.62176449992694,48.62176449992694,[1],48.62176449992694,,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,1,0.005,0.495,,,,,55.046931399963796,55.046931399963796,58.0538411999587,58.0538411999587,[1],58.0538411999587,64.3965047999518,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,2,0.005,0.49,,,,,64.3965047999518,64.3965047999518,67.40296919993125,67.40296919993125,[1],67.40296919993125,73.6918369999621,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,3,0.005,0.485,,,,,73.6918369999621,73.6918369999621,76.70401480002329,76.70401480002329,[1],76.70401480002329,82.80251740000676,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,4,0.005,0.48,,,,,82.80251740000676,82.80251740000676,85.80291490000673,85.80291490000673,[0],85.80291490000673,92.12317509995773,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,5,0.005,0.485,,,,,92.12317509995773,92.12317509995773,95.1363291000016,95.1363291000016,[1],95.1363291000016,101.44660919997841,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,6,0.005,0.48,,,,,101.44660919997841,101.44660919997841,104.45254169998225,104.45254169998225,[0],104.45254169998225,110.91239750001114,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,7,0.005,0.48,,,,,110.91239750001114,110.91239750001114,113.91911070002243,113.91911070002243,[1],113.91911070002243,120.19604019995313,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,8,0.005,0.475,,,,,120.19604019995313,120.19604019995313,123.20220409997273,123.20220409997273,[1],123.20220409997273,129.40892700001132,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,9,0.005,0.47,,,,,129.40892700001132,129.40892700001132,132.41872600000352,132.41872600000352,[1],132.41872600000352,138.32915070001036,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,10,0.005,0.46499999999999997,,,,,138.32915070001036,138.32915070001036,141.3345260999631,141.3345260999631,[0],141.3345260999631,147.65917330002412,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,11,0.005,0.46499999999999997,,,,,147.65917330002412,147.65917330002412,150.66794529999606,150.66794529999606,[0],150.66794529999606,156.89755380002316,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,12,0.005,0.47,,,,,156.89755380002316,156.89755380002316,159.9015214999672,159.9015214999672,[0],159.9015214999672,166.09207399992738,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,13,0.005,0.47,,,,,166.09207399992738,166.09207399992738,169.10055929992814,169.10055929992814,[1],169.10055929992814,175.31213089998346,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,14,0.005,0.46499999999999997,,,,,175.31213089998346,175.31213089998346,178.31751159997657,178.31751159997657,[0],178.31751159997657,184.6409013000084,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,15,0.005,0.46499999999999997,,,,,184.6409013000084,184.6409013000084,187.65000739996321,187.65000739996321,[1],187.65000739996321,193.94871719996445,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,16,0.005,0.45999999999999996,,,,,193.94871719996445,193.94871719996445,196.95023129996844,196.95023129996844,[0],196.95023129996844,202.0444105999777,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,17,0.005,0.45999999999999996,,,,,202.0444105999777,202.0444105999777,205.05005700001493,205.05005700001493,[1],205.05005700001493,208.6818648999324,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,18,0.005,0.45499999999999996,,,,,208.6818648999324,208.6818648999324,211.68297989992425,211.68297989992425,[0],211.68297989992425,215.31495249993168,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,19,0.005,0.45499999999999996,,,,,215.31495249993168,215.31495249993168,218.3157927999273,218.3157927999273,[0],218.3157927999273,,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
0,0,0,0,,,,,,,,,,,,,,,062030,001,3,2024-08-13_17h07.17.889,stimuli4,2022.2.5,59.798526800908306,
