ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,79.39762790000532,79.39762790000532,space,1.4908813999500126,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
0,0,0,0,0,0,0,0,,,,,,,1.0,1.0,0.2575,87.17781799996737,90.18595600000117,[],0,[],90.18595600000117,96.32219969999278,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
1,0,1,0,0,0,0,0,,,,,,,1.0,1.0,0.7525,96.32219969999278,99.3191572999931,[],0,[],99.3191572999931,105.5108572000172,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
2,0,2,0,0,0,0,0,,,,,,,1.0,1.0,0.7525,105.5108572000172,108.518900999974,[],0,[],108.518900999974,115.02153909998015,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
3,0,3,0,0,0,0,0,,,,,,,1.0,1.0,0.01,115.02153909998015,118.01853000000119,[],0,[],118.01853000000119,124.13906740001403,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
4,0,4,0,0,0,0,0,,,,,,,1.0,1.0,0.2575,124.13906740001403,127.13512409996474,[],0,[],127.13512409996474,133.32282669999404,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
5,0,5,0,0,0,0,0,,,,,,,1.0,1.0,0.01,133.32282669999404,136.31816749996506,[],0,[],136.31816749996506,142.44176399998832,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
6,0,6,0,0,0,0,0,,,,,,,1.0,1.0,0.505,142.44176399998832,145.43472189997556,[],0,[],145.43472189997556,151.66459539998323,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
7,0,7,0,0,0,0,0,,,,,,,1.0,1.0,0.505,151.66459539998323,154.66769049997674,[],0,[],154.66769049997674,160.85326399997575,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,089232,001,3,2024-07-28_17h57.50.262,stimuli3,2022.2.5,59.99433654039599,
