opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,staircase_loop2.thisTrialN,staircase_loop2.stepSize,staircase_loop2.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_5.started,text_6.started,polygon_5.stopped,text_6.stopped,staircase_loop2.response,key_resp_3.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,42.4471531000454,42.4471531000454,space,10.737980799982324,,,,,,,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,0,0.05,4.0,,,,,53.251960000023246,53.251960000023246,56.267901099985465,56.267901099985465,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,1,0.05,3.95,,,,,56.267901099985465,56.267901099985465,59.28106559999287,59.28106559999287,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,2,0.05,3.9,,,,,59.28106559999287,59.28106559999287,62.29787600005511,62.29787600005511,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,3,0.05,3.8499999999999996,,,,,62.29787600005511,62.29787600005511,65.31494120007847,65.31494120007847,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,4,0.05,3.8,,,,,65.31494120007847,65.31494120007847,68.33103850006592,68.33103850006592,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,5,0.05,3.8499999999999996,,,,,68.33103850006592,68.33103850006592,71.34896980004851,71.34896980004851,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,6,0.05,3.9,,,,,71.34896980004851,71.34896980004851,74.36444550007582,74.36444550007582,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,7,0.05,3.95,,,,,74.36444550007582,74.36444550007582,77.37283180002123,77.37283180002123,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,8,0.05,3.95,,,,,77.37283180002123,77.37283180002123,80.3969967000885,80.3969967000885,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,9,0.05,3.9,,,,,80.3969967000885,80.3969967000885,83.4073064000113,83.4073064000113,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,10,0.05,3.9,,,,,83.4073064000113,83.4073064000113,86.4295993000269,86.4295993000269,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,11,0.05,3.95,,,,,86.4295993000269,86.4295993000269,89.44924810004886,89.44924810004886,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,12,0.05,4.0,,,,,89.44924810004886,89.44924810004886,92.46373630000744,92.46373630000744,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,13,0.05,4.05,,,,,92.46373630000744,92.46373630000744,95.47911469999235,95.47911469999235,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,14,0.05,4.1,,,,,95.47911469999235,95.47911469999235,98.49856390000787,98.49856390000787,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,15,0.05,4.15,,,,,98.49856390000787,98.49856390000787,101.51681519998237,101.51681519998237,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,16,0.05,4.2,,,,,101.51681519998237,101.51681519998237,104.52249260002282,104.52249260002282,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,17,0.05,4.2,,,,,104.52249260002282,104.52249260002282,107.53213220008183,107.53213220008183,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,18,0.05,4.15,,,,,107.53213220008183,107.53213220008183,110.53943840006832,110.53943840006832,[0],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,19,0.05,4.15,,,,,110.53943840006832,110.53943840006832,113.553290400072,113.553290400072,[1],,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
,,,,0,0,0,0,,,,,,,,,,,,,,154751,001,3,2024-08-15_14h54.44.902,stimuli4,2022.2.5,60.00571253144645,
