ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,26.577301200013608,26.577301200013608,space,1.458564400090836,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,28.070618900004774,28.070618900004774,31.07149920007214,31.07149920007214,,31.07149920007214,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
0,0,0,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
1,0,1,0,0,0,0,0,,,,,1.0,0.5,31.589410200016573,31.589410200016573,34.59236020001117,34.59236020001117,,34.59236020001117,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
1,0,1,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
2,0,2,0,0,0,0,0,,,,,0.020000000000000004,0.5,35.10361039999407,35.10361039999407,38.10619920003228,38.10619920003228,,38.10619920003228,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
2,0,2,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
3,0,3,0,0,0,0,0,,,,,1.0,0.5,38.617136000073515,38.617136000073515,41.61989700002596,41.61989700002596,,41.61989700002596,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
3,0,3,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
4,0,4,0,0,0,0,0,,,,,0.3760603093086394,0.5,42.13538860005792,42.13538860005792,45.135034600039944,45.135034600039944,,45.135034600039944,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
4,0,4,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,45.64610660006292,45.64610660006292,48.648892800090834,48.648892800090834,,48.648892800090834,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
5,0,5,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
6,0,6,0,0,0,0,0,,,,,0.05318295896944989,0.5,49.15950370009523,49.15950370009523,52.16338630008977,52.16338630008977,,52.16338630008977,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
6,0,6,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
7,0,7,0,0,0,0,0,,,,,0.1414213562373095,0.5,52.677391300094314,52.677391300094314,55.67710309999529,55.67710309999529,,55.67710309999529,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
7,0,7,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
8,0,8,0,0,0,0,0,,,,,0.1414213562373095,0.5,56.187008399982005,56.187008399982005,59.19066429999657,59.19066429999657,,59.19066429999657,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
8,0,8,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
9,0,9,0,0,0,0,0,,,,,0.3760603093086394,0.5,59.70215760008432,59.70215760008432,62.70574000000488,62.70574000000488,,62.70574000000488,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
9,0,9,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
10,0,10,0,0,0,0,0,,,,,0.05318295896944989,0.5,63.217581500066444,63.217581500066444,66.21975889999885,66.21975889999885,,66.21975889999885,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
10,0,10,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
11,0,11,0,0,0,0,0,,,,,1.0,0.5,66.73160490009468,66.73160490009468,69.73349080001935,69.73349080001935,,69.73349080001935,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
