ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.61689710000064,35.61689710000064,space,0.7878275000257418,,,,,,,,,,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
0,0,0,0,,,,,,,,,0.1414213562373095,0.5,39.00264540000353,39.00264540000353,42.003281800076365,42.003281800076365,,1,42.003281800076365,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
1,0,1,0,,,,,,,,,0.1414213562373095,0.5,44.73672970000189,44.73672970000189,47.74158620007802,47.74158620007802,,0,48.23848200007342,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
2,0,2,0,,,,,,,,,0.05318295896944989,0.5,50.381361400010064,50.381361400010064,53.38202410005033,53.38202410005033,,0,53.87941040005535,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
3,0,3,0,,,,,,,,,0.020000000000000004,0.5,56.046644299989566,56.046644299989566,59.04814319999423,59.04814319999423,,0,59.544231400010176,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
4,0,4,0,,,,,,,,,1.0,0.5,61.694511000066996,61.694511000066996,64.69481660006568,64.69481660006568,,0,65.19125760009047,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
5,0,5,0,,,,,,,,,0.020000000000000004,0.5,67.3436856000917,67.3436856000917,70.34754910005722,70.34754910005722,,1,70.84429690008983,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
6,0,6,0,,,,,,,,,1.0,0.5,72.91937300004065,72.91937300004065,75.92110710009001,75.92110710009001,,0,76.41745300008915,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
7,0,7,0,,,,,,,,,1.0,0.5,78.81743920000736,78.81743920000736,81.81684750004206,81.81684750004206,,0,82.313081100001,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
8,0,8,0,,,,,,,,,0.020000000000000004,0.5,84.34190230001695,84.34190230001695,87.34300780005287,87.34300780005287,,0,87.83964860008564,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
9,0,9,0,,,,,,,,,0.1414213562373095,0.5,90.00417660002131,90.00417660002131,93.0073216999881,93.0073216999881,,0,93.50376780005172,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
10,0,10,0,,,,,,,,,0.3760603093086394,0.5,95.66774190007709,95.66774190007709,98.67212150001433,98.67212150001433,,0,99.16983660007827,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
11,0,11,0,,,,,,,,,1.0,0.5,101.3082938999869,101.3082938999869,104.30773140001111,104.30773140001111,,0,104.80343540001195,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
12,0,12,0,,,,,,,,,0.3760603093086394,0.5,107.05495290004183,107.05495290004183,110.05759700003546,110.05759700003546,,0,110.55296100000851,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
13,0,13,0,,,,,,,,,0.05318295896944989,0.5,112.76966520003043,112.76966520003043,115.77020720008295,115.77020720008295,,1,116.26854319998529,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
14,0,14,0,,,,,,,,,0.3760603093086394,0.5,118.43551890004892,118.43551890004892,121.43567150004674,121.43567150004674,,1,121.93289410008583,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
15,0,15,0,,,,,,,,,0.05318295896944989,0.5,124.07409390003886,124.07409390003886,127.0771429000888,127.0771429000888,,0,127.57321900001261,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
16,0,16,0,,,,,,,,,0.3760603093086394,0.5,129.7248720000498,129.7248720000498,132.7259447000688,132.7259447000688,,0,133.22089210001286,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
17,0,17,0,,,,,,,,,0.1414213562373095,0.5,135.31465549999848,135.31465549999848,138.31555230007507,138.31555230007507,,0,138.8130508000031,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
18,0,18,0,,,,,,,,,0.020000000000000004,0.5,141.0550619000569,141.0550619000569,144.05975430004764,144.05975430004764,,0,144.55708090006374,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
19,0,19,0,,,,,,,,,0.05318295896944989,0.5,146.72278730000835,146.72278730000835,149.72500299999956,149.72500299999956,,0,150.2213154999772,316896,001,3,2024-06-08_13h02.14.287,stimuli3,2022.2.5,166.66472207488474,
