ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,38.96667780005373,38.96667780005373,space,0.9029499000171199,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
0,0,0,0,0,0,0,0,,,,,1.0,1.0,0.2575,40.015379999997094,43.069053500075825,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
0,0,0,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
1,0,1,0,0,0,0,0,,,,,1.0,1.0,0.7525,43.069053500075825,46.10986189998221,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
1,0,1,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
2,0,2,0,0,0,0,0,,,,,1.0,1.0,0.505,46.10986189998221,49.16084150003735,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
2,0,2,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
3,0,3,0,0,0,0,0,,,,,1.0,1.0,0.01,49.16084150003735,52.21185189997777,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
3,0,3,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
4,0,4,0,0,0,0,0,,,,,1.0,1.0,0.7525,52.21185189997777,55.27851470001042,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
4,0,4,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
5,0,5,0,0,0,0,0,,,,,1.0,1.0,0.01,55.27851470001042,58.32421400002204,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
5,0,5,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
6,0,6,0,0,0,0,0,,,,,1.0,1.0,0.01,58.32421400002204,61.38456879998557,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
6,0,6,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
7,0,7,0,0,0,0,0,,,,,1.0,1.0,0.505,61.38456879998557,64.445893600001,[],0,[],333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
7,0,7,0,,,,,,,,,,,,,,,,,333899,001,3,2024-08-13_14h14.51.254,stimuli3,2022.2.5,60.054216968404724,
