ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,polygon_3.stopped,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.131931699928828,27.131931699928828,space,1.64467169996351,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
0,0,0,0,0,0,0,0,,,,,0.05318295896944989,0.5,29.648968799971044,29.648968799971044,32.65276279998943,32.65276279998943,,32.65276279998943,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
0,0,0,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
1,0,1,0,0,0,0,0,,,,,0.3760603093086394,0.5,33.71165980002843,33.71165980002843,36.711053899955004,36.711053899955004,,36.711053899955004,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
1,0,1,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,37.77496389998123,37.77496389998123,40.77651049999986,40.77651049999986,,40.77651049999986,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
2,0,2,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,41.83965270000044,41.83965270000044,44.844750199932605,44.844750199932605,,44.844750199932605,45.826278100023046,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
3,0,3,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
4,0,4,0,0,0,0,0,,,,,0.05318295896944989,0.5,45.826278100023046,45.826278100023046,48.82894159993157,48.82894159993157,,48.82894159993157,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
4,0,4,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
5,0,5,0,0,0,0,0,,,,,0.020000000000000004,0.5,49.858236599946395,49.858236599946395,52.85784239997156,52.85784239997156,,52.85784239997156,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
5,0,5,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
6,0,6,0,0,0,0,0,,,,,1.0,0.5,53.82891010004096,53.82891010004096,56.832745200023055,56.832745200023055,,56.832745200023055,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
6,0,6,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
7,0,7,0,0,0,0,0,,,,,1.0,0.5,57.812920499942265,57.812920499942265,60.814853799995035,60.814853799995035,,60.814853799995035,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
7,0,7,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,61.85780639993027,61.85780639993027,64.86118739994708,64.86118739994708,,64.86118739994708,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
8,0,8,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
9,0,9,0,0,0,0,0,,,,,0.1414213562373095,0.5,65.84241969999857,65.84241969999857,68.84750369994435,68.84750369994435,,68.84750369994435,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
9,0,9,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
10,0,10,0,0,0,0,0,,,,,0.1414213562373095,0.5,69.90315539995208,69.90315539995208,72.90101369994227,72.90101369994227,,72.90101369994227,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
10,0,10,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
11,0,11,0,0,0,0,0,,,,,0.05318295896944989,0.5,73.95401490002405,73.95401490002405,76.9607374999905,76.9607374999905,,76.9607374999905,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
11,0,11,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,77.9404244000325,77.9404244000325,80.94116029993165,80.94116029993165,,80.94116029993165,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
12,0,12,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
13,0,13,0,0,0,0,0,,,,,0.1414213562373095,0.5,81.90816240001004,81.90816240001004,84.91031349997502,84.91031349997502,,84.91031349997502,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
13,0,13,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
14,0,14,0,0,0,0,0,,,,,0.3760603093086394,0.5,85.95506419998128,85.95506419998128,88.9580346000148,88.9580346000148,,88.9580346000148,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
14,0,14,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
15,0,15,0,0,0,0,0,,,,,0.3760603093086394,0.5,89.93416479998268,89.93416479998268,92.93770659994334,92.93770659994334,,92.93770659994334,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
15,0,15,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
16,0,16,0,0,0,0,0,,,,,0.020000000000000004,0.5,93.88206560001709,93.88206560001709,96.88729989994317,96.88729989994317,,96.88729989994317,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
16,0,16,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,97.87976989999879,97.87976989999879,100.88081160001457,100.88081160001457,,100.88081160001457,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
17,0,17,0,,,,,,,,,,,,,,,,,,,546589,001,3,2024-06-08_17h30.22.899,stimuli3,2022.2.5,159.42860767665022,
