opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,staircase_loop2.thisTrialN,staircase_loop2.stepSize,staircase_loop2.intensity,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_5.started,text_6.started,polygon_5.stopped,text_6.stopped,staircase_loop2.response,key_resp_3.rt,polygon_6.started,polygon_6.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,34.946949500008486,34.946949500008486,space,1.6328631000360474,,,,,,,,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,0,0.05,4.0,,,,,,,36.651530499977525,36.651530499977525,42.76739409996662,42.76739409996662,1,,42.76739409996662,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,1,0.05,4.05,,,,,,,43.28180150000844,43.28180150000844,48.94106649997411,48.94106649997411,1,,48.94106649997411,49.448426399962045,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,2,0.05,4.1,,,,,,,49.448426399962045,49.448426399962045,55.056483899999876,55.056483899999876,1,,55.056483899999876,55.565288899990264,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,3,0.05,4.15,,,,,,,55.565288899990264,55.565288899990264,61.201784599979874,61.201784599979874,0,,61.201784599979874,61.71493709995411,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,4,0.05,4.1,,,,,,,61.71493709995411,61.71493709995411,67.3697964999592,67.3697964999592,1,,67.3697964999592,67.88234379998175,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,5,0.05,4.15,,,,,,,67.88234379998175,67.88234379998175,73.56792969995877,73.56792969995877,0,,73.56792969995877,74.08113419997972,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,6,0.05,4.15,,,,,,,74.08113419997972,74.08113419997972,79.76598480000393,79.76598480000393,0,,79.76598480000393,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,7,0.05,4.1,,,,,,,80.28250569995726,80.28250569995726,85.97124809998786,85.97124809998786,1,,85.97124809998786,86.48104169999715,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,8,0.05,4.15,,,,,,,86.48104169999715,86.48104169999715,92.12015209998935,92.12015209998935,0,,92.12015209998935,92.63033009995706,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,9,0.05,4.15,,,,,,,92.63033009995706,92.63033009995706,98.33357029996114,98.33357029996114,1,,98.33357029996114,98.85233929997776,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,10,0.05,4.2,,,,,,,98.85233929997776,98.85233929997776,104.56197129999055,104.56197129999055,1,,104.56197129999055,105.06283859995892,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
