ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,57.792442000005394,57.792442000005394,space,0.7218934000120498,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
0,0,0,0,0,0,0,0,,,,,,,1.0,2.2360679774997894,58.72238530003233,58.72238530003233,61.75913840002613,61.75913840002613,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
0,0,0,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
1,0,1,0,0,0,0,0,,,,,,,1.0,0.447213595499958,61.75913840002613,61.75913840002613,64.78091140004108,64.78091140004108,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
1,0,1,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
2,0,2,0,0,0,0,0,,,,,,,1.0,1.0,64.78091140004108,64.78091140004108,67.7977133000386,67.7977133000386,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
2,0,2,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
3,0,3,0,0,0,0,0,,,,,,,1.0,2.2360679774997894,67.7977133000386,67.7977133000386,70.84878370002843,70.84878370002843,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
3,0,3,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
4,0,4,0,0,0,0,0,,,,,,,1.0,0.447213595499958,70.84878370002843,70.84878370002843,73.87593830004334,73.87593830004334,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
4,0,4,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
5,0,5,0,0,0,0,0,,,,,,,1.0,5.000000000000001,73.87593830004334,73.87593830004334,76.90533660002984,76.90533660002984,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
5,0,5,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
6,0,6,0,0,0,0,0,,,,,,,1.0,1.0,76.90533660002984,76.90533660002984,79.9378969000536,79.9378969000536,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
6,0,6,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
7,0,7,0,0,0,0,0,,,,,,,1.0,1.0,79.9378969000536,79.9378969000536,82.97008850000566,82.97008850000566,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
7,0,7,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
8,0,8,0,0,0,0,0,,,,,,,1.0,0.20000000000000004,82.97008850000566,82.97008850000566,86.02340010000626,86.02340010000626,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
8,0,8,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
9,0,9,0,0,0,0,0,,,,,,,1.0,0.447213595499958,86.02340010000626,86.02340010000626,89.07244380004704,89.07244380004704,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
9,0,9,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
10,0,10,0,0,0,0,0,,,,,,,1.0,5.000000000000001,89.07244380004704,89.07244380004704,92.09231970005203,92.09231970005203,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
10,0,10,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
11,0,11,0,0,0,0,0,,,,,,,1.0,5.000000000000001,92.09231970005203,92.09231970005203,95.11986700003035,95.11986700003035,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
11,0,11,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
12,0,12,0,0,0,0,0,,,,,,,1.0,0.20000000000000004,95.11986700003035,95.11986700003035,98.12481680000201,98.12481680000201,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
12,0,12,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
13,0,13,0,0,0,0,0,,,,,,,1.0,0.20000000000000004,98.12481680000201,98.12481680000201,101.15532960003475,101.15532960003475,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
13,0,13,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
14,0,14,0,0,0,0,0,,,,,,,1.0,0.447213595499958,101.15532960003475,101.15532960003475,104.19107850000728,104.19107850000728,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
