ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,35.919206899998244,35.919206899998244,space,0.675195200019516,,,,,,,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
0,0,0,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,37.90140109998174,37.90140109998174,41.39615689998027,41.39615689998027,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
0,0,0,0,,,,,,,,,,,,,,,,,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
1,0,1,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,41.39615689998027,41.39615689998027,44.851428899972234,44.851428899972234,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
1,0,1,0,,,,,,,,,,,,,,,,,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
2,0,2,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,44.851428899972234,44.851428899972234,48.32344020000892,48.32344020000892,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
2,0,2,0,,,,,,,,,,,,,,,,,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
3,0,3,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,48.32344020000892,48.32344020000892,51.8585462999763,51.8585462999763,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
3,0,3,0,,,,,,,,,,,,,,,,,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
4,0,4,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,51.8585462999763,51.8585462999763,55.330168599961326,55.330168599961326,,593300,001,3,2024-07-27_16h15.37.349,stimuli3,2022.2.5,60.11533728956547,
