ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.56646510004066,31.56646510004066,space,2.593233799911104,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
0,0,0,0,0,0,0,0,,,,,1.0,0.5,34.247969300020486,34.247969300020486,37.2736269000452,37.2736269000452,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
0,0,0,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,37.2736269000452,37.2736269000452,40.306573800044134,40.306573800044134,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
1,0,1,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
2,0,2,0,0,0,0,0,,,,,0.1414213562373095,0.5,40.306573800044134,40.306573800044134,43.332922799978405,43.332922799978405,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
2,0,2,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
3,0,3,0,0,0,0,0,,,,,0.1414213562373095,0.5,43.332922799978405,43.332922799978405,46.36083110002801,46.36083110002801,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
3,0,3,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
4,0,4,0,0,0,0,0,,,,,0.05318295896944989,0.5,46.36083110002801,46.36083110002801,49.3909844000591,49.3909844000591,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
4,0,4,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
5,0,5,0,0,0,0,0,,,,,0.1414213562373095,0.5,49.3909844000591,49.3909844000591,52.42892209999263,52.42892209999263,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
5,0,5,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
6,0,6,0,0,0,0,0,,,,,0.3760603093086394,0.5,52.42892209999263,52.42892209999263,55.44944680004846,55.44944680004846,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
6,0,6,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
7,0,7,0,0,0,0,0,,,,,0.3760603093086394,0.5,55.44944680004846,55.44944680004846,58.473824199987575,58.473824199987575,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
7,0,7,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,58.473824199987575,58.473824199987575,61.509716799948364,61.509716799948364,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
8,0,8,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
9,0,9,0,0,0,0,0,,,,,0.3760603093086394,0.5,61.509716799948364,61.509716799948364,64.53975640004501,64.53975640004501,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
9,0,9,0,,,,,,,,,,,,,,,,,649975,001,3,2024-08-14_23h51.27.108,stimuli3,2022.2.5,60.04148867704207,
