opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,36.417356100000006,36.417356100000006,space,1.7875530999999683,,,,,,,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,0,0.005,0.587,,,,,,,,,41.289799599999924,41.289799599999924,44.29011379999997,44.29011379999997,0,44.29011379999997,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,1,0.005,0.592,,,,,,,,,47.16817809999998,47.16817809999998,50.16704609999988,50.16704609999988,0,50.16704609999988,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,2,0.005,0.597,,,,,,,,,53.07836109999994,53.07836109999994,56.08055379999996,56.08055379999996,0,56.08055379999996,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,3,0.005,0.602,,,,,,,,,58.93881169999986,58.93881169999986,61.93983479999997,61.93983479999997,1,61.93983479999997,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,4,0.005,0.597,,,,,,,,,64.91784050000001,64.91784050000001,67.91973310000003,67.91973310000003,0,67.91973310000003,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,5,0.005,0.597,,,,,,,,,70.79771219999998,70.79771219999998,73.79707250000001,73.79707250000001,0,73.79707250000001,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,6,0.005,0.602,,,,,,,,,76.70432189999997,76.70432189999997,79.70647239999994,79.70647239999994,1,79.70647239999994,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,7,0.005,0.597,,,,,,,,,82.60453349999989,82.60453349999989,85.60649379999995,85.60649379999995,0,85.60649379999995,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,8,0.005,0.597,,,,,,,,,88.62627950000001,88.62627950000001,91.62948740000002,91.62948740000002,0,91.62948740000002,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,9,0.005,0.602,,,,,,,,,94.19333879999999,94.19333879999999,97.1964289,97.1964289,0,97.1964289,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,10,0.005,0.602,,,,,,,,,100.09188829999994,100.09188829999994,103.09235509999985,103.09235509999985,0,103.09235509999985,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,11,0.005,0.607,,,,,,,,,105.9125219,105.9125219,108.91516520000005,108.91516520000005,0,108.91516520000005,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,12,0.005,0.607,,,,,,,,,111.81118349999997,111.81118349999997,114.81072870000003,114.81072870000003,0,114.81072870000003,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,13,0.005,0.612,,,,,,,,,117.72606649999989,117.72606649999989,120.73006069999997,120.73006069999997,0,120.73006069999997,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,14,0.005,0.612,,,,,,,,,123.6529622999999,123.6529622999999,126.65678060000005,126.65678060000005,0,126.65678060000005,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,15,0.005,0.617,,,,,,,,,129.51367929999992,129.51367929999992,132.51392529999998,132.51392529999998,0,132.51392529999998,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,16,0.005,0.617,,,,,,,,,135.36297450000006,135.36297450000006,138.36211149999986,138.36211149999986,0,138.36211149999986,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,17,0.005,0.622,,,,,,,,,141.2091794999999,141.2091794999999,144.2079655,144.2079655,0,144.2079655,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,18,0.005,0.622,,,,,,,,,147.00131480000005,147.00131480000005,150.00009690000002,150.00009690000002,0,150.00009690000002,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,19,0.005,0.627,,,,,,,,,152.82573200000002,152.82573200000002,155.8287332,155.8287332,0,155.8287332,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
0,0,0,0,,,,,,,,,,,,,,,,,,721651,001,3,2024-07-01_09h41.36.506,stimuli4,2022.2.5,166.11957951801625,
