ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.366674799995963,27.366674799995963,space,0.4668207000067923,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
0,0,0,0,0,0,0,0,,,,,0.2,0.2,0.01,30.36231910000788,33.371140100003686,[],0,[],33.371140100003686,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
0,0,0,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
1,0,1,0,0,0,0,0,,,,,0.2,0.2,0.2,36.07998090001638,39.084989900002256,[],0,[],39.084989900002256,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
1,0,1,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
2,0,2,0,0,0,0,0,,,,,0.2,0.2,0.01,41.869628699991154,44.87897260001046,[],0,[],44.87897260001046,47.626018700015265,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
2,0,2,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
3,0,3,0,0,0,0,0,,,,,0.2,0.2,0.105,47.626018700015265,50.6280834999925,[],0,[],50.6280834999925,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
3,0,3,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
4,0,4,0,0,0,0,0,,,,,0.2,0.2,0.01,53.308468800008995,56.31637499999488,[],0,[],56.31637499999488,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
4,0,4,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
5,0,5,0,0,0,0,0,,,,,0.2,0.2,0.15250000000000002,59.039756400015904,62.04236839999794,[],0,[],62.04236839999794,64.80801690000226,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
5,0,5,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
6,0,6,0,0,0,0,0,,,,,0.2,0.2,0.0575,64.80801690000226,67.81048280000687,[],0,[],67.81048280000687,70.4689367999963,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
6,0,6,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
7,0,7,0,0,0,0,0,,,,,0.2,0.2,0.105,70.4689367999963,73.47006419999525,[],0,[],73.47006419999525,76.04022399999667,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
7,0,7,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
8,0,8,0,0,0,0,0,,,,,0.2,0.2,0.2,76.04022399999667,79.04717559998971,[],0,[],79.04717559998971,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
8,0,8,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
9,0,9,0,0,0,0,0,,,,,0.2,0.2,0.0575,81.71455870001228,84.71535839998978,[],0,[],84.71535839998978,87.33278029999929,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
9,0,9,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
10,0,10,0,0,0,0,0,,,,,0.2,0.2,0.105,87.33278029999929,90.33300990000134,[],0,[],90.33300990000134,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
10,0,10,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
11,0,11,0,0,0,0,0,,,,,0.2,0.2,0.15250000000000002,92.95468240001355,95.95452259999001,[],0,[],95.95452259999001,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
11,0,11,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
12,0,12,0,0,0,0,0,,,,,0.2,0.2,0.0575,98.52409809999517,101.52892460001749,[],0,[],101.52892460001749,104.11453170000459,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
12,0,12,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
13,0,13,0,0,0,0,0,,,,,0.2,0.2,0.15250000000000002,104.11453170000459,107.11491309999838,[],0,[],107.11491309999838,109.77592770001502,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
13,0,13,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
14,0,14,0,0,0,0,0,,,,,0.2,0.2,0.2,109.77592770001502,112.77891920000548,[],0,[],112.77891920000548,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
14,0,14,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
15,0,15,0,0,0,0,0,,,,,0.2,0.2,0.01,115.42748139999458,118.43862460000673,[],0,[],118.43862460000673,121.09337990000495,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
15,0,15,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
16,0,16,0,0,0,0,0,,,,,0.2,0.2,0.0575,121.09337990000495,124.09649490000447,[],0,[],124.09649490000447,126.7102070999972,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
16,0,16,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
17,0,17,0,0,0,0,0,,,,,0.2,0.2,0.15250000000000002,126.7102070999972,129.71290549999685,[],0,[],129.71290549999685,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
17,0,17,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
18,0,18,0,0,0,0,0,,,,,0.2,0.2,0.2,132.45739689999027,135.46231410000473,[],0,[],135.46231410000473,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
18,0,18,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
19,0,19,0,0,0,0,0,,,,,0.2,0.2,0.105,138.21550769999158,141.21753600001102,[],0,[],141.21753600001102,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
19,0,19,0,,,,,,,,,,,,,,,,,,,779996,001,3,2024-06-29_13h46.45.232,stimuli3,2022.2.5,166.57727017050195,
