staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,37.64701650000643,37.64701650000643,space,8.968399599893019,,,,,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
0,0.05,0.5,,,,,46.7715197999496,49.79951689997688,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
1,0.05,0.4456254690668728,,,,,50.302138500032015,53.315733100054786,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
2,0.05,0.3971641173621408,,,,,53.81569349998608,56.8269583999645,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
3,0.05,0.353972892192069,,,,,57.332183000049554,60.34656800003722,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
4,0.05,0.3971641173621408,,,,,60.852141199982725,63.866813999949954,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
5,0.05,0.353972892192069,,,,,64.36456180003006,67.37918140005786,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
6,0.05,0.3154786722400967,,,,,67.88078450004105,70.90225719998125,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
7,0.05,0.2811706625951746,,,,,71.39742040005513,74.4058362999931,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
8,0.05,0.2811706625951746,,,,,74.91858299996238,77.93470390001312,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
9,0.05,0.25059361681363623,,,,,78.43336689996067,81.43982219998725,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
10,0.05,0.25059361681363623,,,,,81.94580880005378,84.96237840002868,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
11,0.05,0.2811706625951746,,,,,85.46484140004031,88.48116269998718,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
12,0.05,0.25059361681363623,,,,,88.98140179994516,91.99387420003768,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
13,0.05,0.22334179607548166,,,,,92.50054080004338,95.50704189995304,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
14,0.05,0.22334179607548166,,,,,96.01513189997058,99.04860109998845,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
15,0.05,0.25059361681363623,,,,,99.55242159997579,102.56341990001965,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
16,0.05,0.22334179607548166,,,,,103.06962600001134,106.07407840003725,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
17,0.05,0.22334179607548166,,,,,106.58094839996193,109.59336339996662,[1],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
18,0.05,0.19905358527674874,,,,,110.09631279995665,113.10812210000586,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
19,0.05,0.19905358527674874,,,,,113.61167959996965,116.61007159994915,[0],,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
,,,,,,,,,,,844776,001,3,2024-08-15_13h48.40.467,stimuli4,2022.2.5,60.10561758376572,
