ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,47.97011150000617,47.97011150000617,space,4.7652876999927685,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,52.81265249999706,52.81265249999706,52.920277899946086,52.920277899946086,"(16, 0)",52.920277899946086,52.920277899946086,52.920277899946086,k,1,2.9485286000417545,55.87964219995774,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
1,0,1,0,0,0,0,0,,,,,1.0,0.5,56.393971299985424,56.393971299985424,56.49998700001743,56.49998700001743,"(-16, 0)",56.49998700001743,56.49998700001743,56.49998700001743,j,1,0.9097594999475405,57.41912289999891,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,57.933523699990474,57.933523699990474,58.03852940001525,58.03852940001525,"(16, 0)",58.03852940001525,58.03852940001525,58.03852940001525,k,1,0.887060199980624,58.933720999979414,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,59.450579099939205,59.450579099939205,59.55305450002197,59.55305450002197,"(16, 0)",59.55305450002197,59.55305450002197,59.55305450002197,k,1,0.6792449000058696,60.24244329996873,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
4,0,4,0,0,0,0,0,,,,,1.0,0.5,60.75619280000683,60.75619280000683,60.85677549999673,60.85677549999673,"(-16, 0)",60.85677549999673,60.85677549999673,60.85677549999673,j,1,0.4309530999744311,61.29721440002322,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,61.80868779995944,61.80868779995944,61.91225779999513,61.91225779999513,"(-16, 0)",61.91225779999513,61.91225779999513,61.91225779999513,j,1,0.4264507000334561,62.344853100017644,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
6,0,6,0,0,0,0,0,,,,,0.020000000000000004,0.5,62.85957730002701,62.85957730002701,62.96344920003321,62.96344920003321,"(-16, 0)",62.96344920003321,62.96344920003321,62.96344920003321,j,1,0.5449171999935061,63.51645569992252,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
7,0,7,0,0,0,0,0,,,,,0.1414213562373095,0.5,64.02628520003054,64.02628520003054,64.12872699997388,64.12872699997388,"(-16, 0)",64.12872699997388,64.12872699997388,64.12872699997388,j,1,0.37234790006186813,64.50791439996101,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
8,0,8,0,0,0,0,0,,,,,0.3760603093086394,0.5,65.02568680001423,65.02568680001423,65.1271438000258,65.1271438000258,"(16, 0)",65.1271438000258,65.1271438000258,65.1271438000258,k,1,0.4673460000194609,65.6021065999521,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
9,0,9,0,0,0,0,0,,,,,0.3760603093086394,0.5,66.11017350002658,66.11017350002658,66.21117729996331,66.21117729996331,"(16, 0)",66.21117729996331,66.21117729996331,66.21117729996331,k,1,0.283309799968265,66.50116440001875,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
10,0,10,0,0,0,0,0,,,,,0.05318295896944989,0.5,67.01217420003377,67.01217420003377,67.11381389992312,67.11381389992312,"(16, 0)",67.11381389992312,67.11381389992312,67.11381389992312,k,1,0.39329719997476786,67.51369059993885,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
11,0,11,0,0,0,0,0,,,,,0.1414213562373095,0.5,68.02463440003339,68.02463440003339,68.12534499994945,68.12534499994945,"(16, 0)",68.12534499994945,68.12534499994945,68.12534499994945,k,1,0.2855159000027925,68.42208809999283,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,68.93746629997622,68.93746629997622,69.04702519997954,69.04702519997954,"(16, 0)",69.04702519997954,69.04702519997954,69.04702519997954,k,1,0.2837775000371039,69.337397199939,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
