staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,33.639182700018864,33.639182700018864,space,1.0893940000096336,,,,,,,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
0,0.05,0.5,,,,,,,40.98654660000466,43.98357650003163,0,,43.98357650003163,50.58352809998905,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
1,0.05,0.5610092271509817,,,,,,,50.58352809998905,53.58270139998058,1,,53.58270139998058,59.82367240003077,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
2,0.05,0.5,,,,,,,59.82367240003077,62.81543040001998,0,,62.81543040001998,69.12883370002965,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
3,0.05,0.5,,,,,,,69.12883370002965,72.13197460002266,1,,72.13197460002266,78.50164309999673,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
4,0.05,0.4456254690668728,,,,,,,78.50164309999673,81.49861519999104,0,,81.49861519999104,87.81132889998844,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
5,0.05,0.4456254690668728,,,,,,,87.81132889998844,90.81478080002125,0,,90.81478080002125,96.91945129999658,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
6,0.05,0.5,,,,,,,96.91945129999658,99.91472480003722,1,,99.91472480003722,106.0061947000213,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
7,0.05,0.4456254690668728,,,,,,,106.0061947000213,108.99821330001578,1,,108.99821330001578,115.19429600000149,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
8,0.05,0.3971641173621408,,,,,,,115.19429600000149,118.19807990000118,0,,118.19807990000118,124.50879210000858,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
9,0.05,0.3971641173621408,,,,,,,124.50879210000858,127.51336680003442,0,,127.51336680003442,133.6078726000269,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
10,0.05,0.4456254690668728,,,,,,,133.6078726000269,136.59960329998285,1,,136.59960329998285,,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
11,0.05,0.3971641173621408,,,,,,,142.82147299998906,145.81356540002162,1,,145.81356540002162,151.8987089000293,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
12,0.05,0.353972892192069,,,,,,,151.8987089000293,154.89678670000285,0,,154.89678670000285,161.18679850001354,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
13,0.05,0.353972892192069,,,,,,,161.18679850001354,164.17982700001448,1,,164.17982700001448,170.27177719998872,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
14,0.05,0.3154786722400967,,,,,,,170.27177719998872,173.26249789999565,1,,173.26249789999565,179.35964809998404,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
15,0.05,0.2811706625951746,,,,,,,179.35964809998404,182.36267850000877,1,,182.36267850000877,188.46633060002932,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
16,0.05,0.25059361681363623,,,,,,,188.46633060002932,191.46237120003207,0,,191.46237120003207,197.65166490001138,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
17,0.05,0.25059361681363623,,,,,,,197.65166490001138,200.64524600002915,1,,200.64524600002915,206.94411139999283,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
18,0.05,0.22334179607548166,,,,,,,206.94411139999283,209.94497920002323,1,,209.94497920002323,216.21625810000114,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
19,0.05,0.19905358527674874,,,,,,,216.21625810000114,219.21241779997945,1,,219.21241779997945,,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
,,,,,,,,,,,,,,,901300,001,3,2024-07-28_18h07.09.060,stimuli4,2022.2.5,60.109302755696454,
